date,open,high,low,volume,sentiment,close
2021/7/5 10:30,77.73,78.5,76.54,"725,305",0,78.28
2021/7/5 11:30,78.28,78.29,77.23,"253,126",0,77.44
2021/7/5 14:00,77.44,77.44,76.4,"343,055",0,76.94
2021/7/5 15:00,76.95,77.17,76.43,"343,649",0,76.51
2021/7/6 10:30,75.88,77,75.28,"701,623",-0.192310318,75.31
2021/7/6 11:30,75.29,75.31,73.01,"998,873",-0.191411367,73.37
2021/7/6 14:00,73.25,74.48,73.19,"270,254",-0.160788292,74.24
2021/7/6 15:00,74.25,74.29,74,"281,139",-0.215420902,74.18
2021/7/7 10:30,73.4,74.7,73.24,"458,746",-0.161239375,74.21
2021/7/7 11:30,74.18,74.38,73.88,"185,662",-0.026864088,73.99
2021/7/7 14:00,73.99,73.99,73.24,"341,751",-0.010630094,73.7
2021/7/7 15:00,73.7,73.89,73.61,"350,679",-0.103389876,73.69
2021/7/8 10:30,73.7,74.14,71.55,"995,444",-0.077530272,71.91
2021/7/8 11:30,71.91,72.19,71.66,"296,082",-0.147019623,71.97
2021/7/8 14:00,71.97,72.28,71.2,"280,896",-0.4392668,71.43
2021/7/8 15:00,71.43,71.66,71.17,"466,181",-0.272873873,71.52
2021/7/9 10:30,71.69,73.83,71.12,"894,641",-0.438190551,72.65
2021/7/9 11:30,72.65,73.39,72.4,"189,889",-0.051891042,72.65
2021/7/9 14:00,72.65,73.13,72.46,"167,933",0,73.12
2021/7/9 15:00,73.12,73.38,72.75,"290,832",0,72.89
2021/7/12 10:30,72.57,73.77,71.47,"785,168",0.049386096,72.74
2021/7/12 11:30,72.74,72.95,72.27,"345,220",-0.271993493,72.9
2021/7/12 14:00,72.9,74.2,72.77,"510,380",-0.011084992,73.97
2021/7/12 15:00,73.97,74.5,73.69,"445,515",-0.027773636,74.46
2021/7/13 10:30,74,76.5,73.61,"1,057,998",-0.202945252,74.89
2021/7/13 11:30,74.89,75.3,74.56,"228,869",0.45204392,75.02
2021/7/13 14:00,75.02,75.39,74.48,"305,678",0.158909619,75.39
2021/7/13 15:00,75.39,75.6,75.19,"353,793",-0.170002264,75.44
2021/7/14 10:30,75.6,77.18,74.3,"885,975",-0.487143749,76.45
2021/7/14 11:30,76.45,76.68,75.47,"384,696",-0.138054486,75.5
2021/7/14 14:00,75.5,76.37,74.54,"420,534",-0.263303001,74.7
2021/7/14 15:00,74.65,74.93,73.78,"550,405",-0.344563185,73.78
2021/7/15 10:30,68.9,70.5,66.65,"6,611,940",-0.116539669,68.03
2021/7/15 11:30,68.03,68.27,66.68,"2,119,335",-0.093715068,66.75
2021/7/15 14:00,66.75,67.4,66,"2,128,144",-0.101245493,66.43
2021/7/15 15:00,66.42,66.47,65.4,"3,295,475",-0.036170295,66
2021/7/16 10:30,66,66,64.7,"5,669,116",0.064650599,64.93
2021/7/16 11:30,64.93,66.44,64.93,"2,387,369",0.026370453,66.13
2021/7/16 14:00,66.13,66.69,65.86,"2,796,986",-0.103696914,66
2021/7/16 15:00,66.05,66.05,65.08,"2,085,204",-0.099221671,65.22
2021/7/19 10:30,65.22,65.22,63.4,"3,961,438",-0.049900647,63.4
2021/7/19 11:30,63.4,63.9,63,"1,472,888",-0.071990935,63.65
